ticker,entry_dt,exit_dt,entry,exit,reason,pos_rub,pnl_rub,pnl_pct,hold_days,win,tp_levels,risk_pct,capital_after
VTBR,2025-04-29,2025-05-21,98.759875,96.320367,TIME,13135.68,-337.44,-2.569,20,False,0,0.01,103243.01195957999
VTBR,2025-06-23,2025-07-02,102.430242,102.52241897477579,SL,21676.6,310.98,1.435,9,True,1,0.01,103553.99240775911
MTSS,2025-06-25,2025-07-04,235.073505,226.16416312029313,SL,27310.06,-1061.85,-3.888,9,False,0,0.01,102492.14209208607
PHOR,2025-07-24,2025-07-28,6510.651,6323.653142419616,SL,30747.64,-913.43,-2.971,4,False,0,0.01,101578.70730847323
OZON,2025-07-22,2025-07-30,4246.4246,4050.0268364154804,SL,22206.19,-1048.73,-4.723,6,False,0,0.01,100529.97507802356
OZPH,2025-07-19,2025-07-31,49.854985,49.8998495010015,SL,21466.99,359.38,1.674,12,True,1,0.01,100889.35839900332
PLZL,2025-07-30,2025-08-12,1994.79946,2085.366697380858,SL,21832.85,1531.58,7.015,9,True,2,0.01,102420.94079545718
TATN,2025-08-11,2025-08-18,729.0729,695.675806911802,SL,22070.56,-1032.56,-4.678,7,False,0,0.01,101388.37594804745
AFLT,2025-08-12,2025-08-20,65.50655,65.565499344345,SL,20010.08,358.66,1.792,8,True,1,0.01,101747.03981082221
GMKN,2025-08-07,2025-08-21,123.71237,123.823698761763,SL,19296.68,354.56,1.837,12,True,1,0.01,102101.60355757999
PHOR,2025-07-30,2025-08-23,6581.6581,7047.2952000000005,TIME,29096.27,1774.08,6.097,20,True,1,0.01,103875.68521160487
MTSS,2025-08-19,2025-08-29,225.172515,217.2925715222185,SL,29052.25,-1045.23,-3.598,10,False,0,0.01,102830.4537762437
PLZL,2025-08-23,2025-08-29,2195.2195,2100.9578181852244,SL,24245.2,-1064.8,-4.392,6,False,0,0.01,101765.6517520757
NVTK,2025-08-08,2025-08-30,1140.114,1238.2761600000001,TIME,18522.34,1447.31,7.814,20,True,1,0.01,103212.96587093399
PLZL,2025-09-10,2025-10-02,2330.233,2367.7632,TIME,30434.39,669.63,2.2,20,True,1,0.01,103882.59733101592
GAZP,2025-11-21,2025-12-15,128.202819,128.74712399999999,TIME,24025.79,77.93,0.324,20,True,0,0.01,103960.52576518268
OZPH,2025-12-12,2025-12-19,52.275227,50.86814303016033,SL,31164.78,-869.6,-2.79,7,False,0,0.01,103090.92298795698
T,2025-12-10,2025-12-30,3234.52342,3273.6726,TIME,31164.78,345.85,1.11,20,True,0,0.01,103436.77373257774
TGKA,2025-12-19,2026-01-05,0.0065126512000000004,0.006261253825837424,SL,26773.22,-1059.74,-3.958,12,False,0,0.01,102377.03380813116
YDEX,2025-12-27,2026-01-08,4535.4535,4405.018080762755,SL,30927.28,-919.92,-2.974,6,False,0,0.01,101457.1114747586
PLZL,2025-12-17,2026-01-16,2313.2313,2559.744,TIME,30686.76,2570.12,8.375,20,True,2,0.01,104027.23128707454
GMKN,2025-12-23,2026-01-20,143.594358,158.404158,TIME,30370.66,2471.84,8.139,20,True,2,0.01,106499.06959991224
PLZL,2026-01-20,2026-01-29,2620.262,2622.6199737738,SL,27443.06,329.74,1.202,9,True,1,0.01,106828.8117742964
RUAL,2026-01-21,2026-01-30,39.203920000000004,39.239199607608,SL,22291.47,342.75,1.538,9,True,1,0.01,107171.56544626424
PLZL,2026-01-29,2026-01-30,2763.2763,2641.1937050795086,SL,24232.58,-1094.3,-4.516,1,False,0,0.01,106077.26359382327
GMKN,2026-01-30,2026-01-31,168.196818,164.62915141250957,SL,31823.18,-706.5,-2.22,1,False,0,0.01,105370.76814537586
SNGSP,2026-01-13,2026-02-02,43.494349,43.905609,TIME,26094.85,220.52,0.845,20,True,0,0.01,105591.2892897202
OZON,2026-01-30,2026-02-02,4731.97315,4574.115455928394,SL,31823.18,-1092.91,-3.434,3,False,0,0.01,104498.3818882429
IRAO,2026-01-16,2026-02-05,3.3203319999999996,3.469653,TIME,27893.24,1222.19,4.382,20,True,1,0.01,105720.56780198471
MTSS,2026-01-21,2026-02-10,224.32243,221.327865,TIME,31949.72,-458.25,-1.434,20,False,0,0.01,105262.3224346205
MAGN,2026-02-01,2026-02-23,30.473046999999998,32.306769,TIME,26253.92,1471.95,5.607,20,True,1,0.01,106734.27422765939
VTBR,2026-02-07,2026-03-01,83.258325,85.931406,TIME,27521.61,963.3,3.5,20,True,1,0.01,107697.5710122682
RUAL,2026-03-06,2026-03-09,42.954295,42.99294957007049,SL,25609.43,361.29,1.411,1,True,1,0.01,108058.8598870773
TATN,2026-03-03,2026-03-10,607.46074,627.9116326796928,SL,32309.27,1672.78,5.177,5,True,2,0.01,109731.63920605872
RUAL,2026-03-09,2026-03-18,45.10451,42.518655184246064,SL,18879.52,-1100.71,-5.83,9,False,0,0.01,108630.93243946483
PHOR,2026-02-25,2026-03-19,6669.6669,7840.591900000004,TP3,32020.28,3223.28,10.066,20,True,3,0.01,111854.209438113
ROSN,2026-03-03,2026-03-20,437.0437,512.84871,END,32309.27,3424.48,10.599,16,True,2,0.01,115278.68641801941
TATNP,2026-03-10,2026-03-20,602.86028,609.83901,END,20023.78,211.66,1.057,11,True,0,0.01,115490.34266165989
