ticker,entry_dt,exit_dt,entry,exit,reason,pos_size_rub,pnl_rub,pnl_pct,hold_days,win,tp_levels,risk_pct,capital_after
OZON,2025-02-13,2025-03-13,4050.4049999999997,3949.605,TIME,5962.56,-154.28,-2.587,20,False,0,0.005,108626.53981330026
VTBR,2025-04-29,2025-05-21,98.759875,96.320367,TIME,6627.2,-170.25,-2.569,20,False,0,0.005,108456.2932905349
OZON,2025-06-06,2025-06-09,4005.4004999999997,3740.021588469812,SL,8196.28,-550.97,-6.722,1,False,0,0.005,107905.32174871922
PLZL,2025-07-05,2025-07-09,1908.1908,1813.2960672735178,SL,10869.84,-551.16,-5.071,4,False,0,0.005,107354.16274251066
RUAL,2025-08-11,2025-08-14,34.653465,34.68464965315349,SL,7787.43,164.68,2.115,3,True,1,0.005,107518.83892387521
GAZP,2025-08-11,2025-08-21,144.11441,133.40422340176417,SL,7231.7,-544.4,-7.528,10,False,0,0.005,106974.43588900141
RUAL,2025-08-15,2025-08-21,36.513650999999996,34.31046130355835,SL,8923.49,-547.09,-6.131,6,False,0,0.005,106427.34898297687
PHOR,2025-08-08,2025-08-30,6820.682,6990.3009,TIME,13537.17,356.16,2.631,20,True,1,0.005,106783.51173022085
TATN,2025-11-21,2025-11-27,628.8628799999999,586.7583288752738,SL,7985.59,-542.38,-6.792,4,False,0,0.005,106241.13052193457
GAZP,2025-11-21,2025-12-15,128.202819,128.74712399999999,TIME,11132.16,36.11,0.324,20,True,0,0.005,106277.23804629459
IRAO,2025-12-12,2025-12-23,3.140314,3.0114768980937896,SL,12978.1,-545.16,-4.201,11,False,0,0.005,105732.07597938782
GMKN,2025-12-24,2025-12-29,148.354834,148.4883385151166,SL,13533.24,193.19,1.428,5,True,1,0.005,105925.2675407645
RUAL,2026-01-13,2026-01-15,36.853685,36.8868496311315,SL,11750.44,200.38,1.705,2,True,1,0.005,106125.64425297681
PLZL,2026-01-13,2026-01-29,2547.2547,2629.014036341612,SL,12470.97,562.93,4.514,16,True,2,0.005,106688.57114208571
RUAL,2026-01-17,2026-01-30,37.923792,39.48926510763614,SL,9680.21,564.61,5.833,13,True,2,0.005,107253.179572186
PLZL,2026-01-29,2026-01-30,2763.2763,2630.467872310565,SL,11121.1,-545.36,-4.904,1,False,0,0.005,106707.82405007107
GMKN,2026-01-30,2026-01-31,168.196818,163.97650734723285,SL,21346.69,-556.7,-2.608,1,False,0,0.005,106151.12467357307
VTBR,2026-01-30,2026-02-02,77.727772,79.4925219528,SL,17950.62,568.13,3.165,3,True,2,0.005,106719.25746103647
IRAO,2026-01-17,2026-02-04,3.450345,3.4534499654654995,SL,11818.99,204.56,1.731,18,True,1,0.005,106923.81464877338
VTBR,2026-02-07,2026-02-19,83.258325,85.90123227006202,SL,12548.56,560.06,4.463,10,True,2,0.005,107483.87189487531
MAGN,2026-02-03,2026-02-25,31.243123999999998,31.656834,TIME,11431.05,280.88,2.457,20,True,1,0.005,107764.75609249833
TATN,2026-03-03,2026-03-04,607.46074,608.0073939199259,SL,15038.31,199.83,1.329,1,True,1,0.005,107964.59051529376
PHOR,2026-02-26,2026-03-09,6900.69,7057.28140128,SL,17819.69,563.68,3.163,9,True,2,0.005,108528.2696750171
NVTK,2026-03-03,2026-03-09,1278.72786,1435.5695724693937,TP3,14554.55,819.97,5.634,4,True,3,0.005,109348.24331117635
TATN,2026-03-04,2026-03-10,617.56175,636.3330846377047,SL,13418.36,572.91,4.27,4,True,2,0.005,109921.15239814376
RUAL,2026-03-09,2026-03-18,45.10451,42.31011020471786,SL,8838.35,-556.13,-6.292,9,False,0,0.005,109365.0176804653
NVTK,2026-03-09,2026-03-20,1418.24181,1403.8596,END,5946.53,-66.22,-1.114,12,False,0,0.005,109298.79829677635
TATN,2026-03-10,2026-03-20,649.0649,655.6344300000001,END,9534.6,86.92,0.912,11,True,0,0.005,109385.7201864396
PHOR,2026-03-20,2026-03-20,7792.7792,7696.2303,END,12034.84,-161.07,-1.338,1,False,0,0.005,109224.65384450842
