num,ticker,entry_dt,exit_dt,entry_price,exit_price,shares,pnl,pnl_pct,reason,tp_hit,hold_bars,capital_after
178,NLMK,2023-07-14 19:00,2023-07-20 11:00,190.02,190.18,130,255.95,1.04,SL,2,52,82147.74
179,NVTK,2023-07-17 16:00,2023-07-20 11:00,1462.75,1463.92,11,166.57,1.03,SL,2,40,98412.56
180,MGNT,2023-07-24 11:00,2023-07-24 16:00,5845.08,5760.46,5,-452.12,-1.55,SL,0,5,97960.44
181,NLMK,2023-07-25 18:00,2023-07-26 11:00,195.32,195.48,80,64.79,0.41,SL,1,8,47766.49
182,LKOH,2023-07-25 12:00,2023-07-26 13:00,5595.06,5599.53,5,116.01,0.41,SL,1,16,75871.78
183,MTLR,2023-07-26 15:00,2023-07-27 10:00,198.14,206.44,120,441.49,1.86,TP3,3,10,59798.97
184,LKOH,2023-07-28 15:00,2023-07-28 16:00,5735.57,5740.16,3,71.35,0.41,SL,1,1,59870.33
185,NVTK,2023-07-26 17:00,2023-07-31 11:00,1500.55,1501.75,11,68.43,0.41,SL,1,39,59114.66
186,SBER,2023-07-25 14:00,2023-07-31 12:00,247.31,257.68,90,413.25,1.86,TP3,3,58,62981.49
187,NLMK,2023-07-31 11:00,2023-07-31 18:00,208.96,209.13,90,77.98,0.41,SL,1,7,61383.06
188,SBER,2023-07-31 12:00,2023-07-31 23:00,256.03,266.75,80,380.26,1.86,TP3,3,11,64524.98
189,T,2023-07-31 18:00,2023-08-01 10:00,3544.35,3500.77,5,-235.53,-1.33,SL,0,7,82020.08
190,LKOH,2023-07-28 17:00,2023-08-01 14:00,5776.58,6018.59,3,321.78,1.86,TP3,3,27,99680.26
191,NVTK,2023-08-02 17:00,2023-08-02 19:00,1559.96,1540.77,14,-290.25,-1.33,SL,0,2,67362.6
192,MTLR,2023-08-02 17:00,2023-08-03 11:00,228.65,229.51,140,518.83,1.62,SL,2,9,99908.84
193,T,2023-08-03 15:00,2023-08-04 10:00,3644.86,3647.78,9,147.99,0.45,SL,1,10,77906.78
194,LKOH,2023-08-04 11:00,2023-08-04 12:00,6182.12,6187.38,4,103.16,0.42,SL,1,1,78009.94
