ticker,entry_dt,exit_dt,entry,exit_price,reason,pos_rub,pnl_rub,pnl_pct,hold_days,win
CHMF,2025-01-03,2025-01-09,1330.133,1239.709532409163,SL,15574.74,-1073.83,-6.895,3,False
ROSN,2024-12-26,2025-01-10,583.8583799999999,549.1577522668405,SL,17528.93,-1058.81,-6.04,8,False
PHOR,2024-12-25,2025-01-27,6355.6355,7089.291,TIME,16825.07,1749.43,10.398,20,True
SBER,2024-12-26,2025-01-28,272.0272,275.22247500000003,TIME,17787.72,191.05,1.074,20,True
AFLT,2025-01-13,2025-02-10,61.50615,64.31356799999999,TIME,14379.4,641.63,4.462,20,True
PHOR,2025-01-27,2025-02-12,7090.709,6781.010050724734,SL,24256.19,-1083.16,-4.465,12,False
SNGS,2025-01-23,2025-02-14,28.052805,28.078049719219496,SL,17319.98,384.25,2.219,16,True
TATN,2025-02-13,2025-02-14,735.6735600000001,705.280815143607,SL,25586.72,-1082.12,-4.229,1,False
PLZL,2025-01-22,2025-02-19,1580.158,1874.662515,TIME,24421.29,3099.88,12.693,20,True
OZON,2025-01-24,2025-02-21,3548.3548,4018.5981,TIME,13666.0,1648.07,12.06,20,True
OZPH,2025-02-17,2025-02-27,51.20512,55.6025031936,SL,12412.05,1657.4,13.353,8,True
ALRS,2025-02-21,2025-02-27,62.786278,58.7325564771495,SL,16986.24,-1113.13,-6.553,4,False
SBER,2025-02-13,2025-03-03,315.641561,301.4387061322301,SL,23487.22,-1079.81,-4.597,14,False
AFLT,2025-02-13,2025-03-11,69.396939,74.69253,TIME,16908.22,1264.13,7.476,20,True
NVTK,2025-02-18,2025-03-13,1295.1295,1205.0390116156384,SL,15080.74,-1063.59,-7.053,19,False
GMKN,2025-02-20,2025-03-13,139.073906,129.12897191364675,SL,15103.55,-1094.59,-7.247,17,False
GAZP,2025-05-02,2025-05-03,149.71497,139.3689874981545,SL,15661.34,-1097.39,-7.007,1,False
TATN,2025-04-29,2025-05-05,725.47254,688.9928419175134,SL,21534.79,-1103.85,-5.126,5,False
VTBR,2025-04-29,2025-05-21,98.759875,96.320367,TIME,13427.29,-344.93,-2.569,20,False
VTBR,2025-06-23,2025-07-02,102.430242,102.52241897477579,SL,22157.81,317.88,1.435,9,True
PHOR,2025-07-24,2025-07-28,6510.651,6323.653142419616,SL,31755.85,-943.39,-2.971,4,False
OZON,2025-07-22,2025-07-30,4246.4246,4050.0268364154804,SL,22934.32,-1083.12,-4.723,6,False
OZPH,2025-07-19,2025-07-31,49.854985,49.8998495010015,SL,22170.89,371.17,1.674,12,True
PLZL,2025-07-30,2025-08-12,1994.79946,2085.366697380858,SL,22548.74,1581.8,7.015,9,True
TATN,2025-08-11,2025-08-18,729.0729,695.675806911802,SL,22794.25,-1066.42,-4.678,7,False
AFLT,2025-08-12,2025-08-20,65.50655,65.565499344345,SL,20666.2,370.42,1.792,8,True
GMKN,2025-08-07,2025-08-21,123.71237,123.823698761763,SL,19929.41,366.19,1.837,12,True
PHOR,2025-07-30,2025-08-23,6581.6581,7047.2952000000005,TIME,30050.33,1832.25,6.097,20,True
NVTK,2025-08-08,2025-08-30,1140.114,1238.2761600000001,TIME,19129.68,1494.77,7.814,20,True
PLZL,2025-08-14,2025-09-03,2108.01078,2224.7775,TIME,18975.61,1062.07,5.597,20,True
PLZL,2025-09-10,2025-10-02,2330.233,2367.7632,TIME,32388.08,712.62,2.2,20,True
GAZP,2025-11-21,2025-12-15,128.202819,128.74712399999999,TIME,25568.09,82.93,0.324,20,True
OZPH,2025-12-12,2025-12-19,52.275227,50.86814303016033,SL,33165.36,-925.43,-2.79,7,False
T,2025-12-10,2025-12-30,3234.52342,3273.6726,TIME,33165.36,368.05,1.11,20,True
YDEX,2025-12-27,2026-01-08,4535.4535,4405.018080762755,SL,32912.61,-978.98,-2.974,6,False
PLZL,2025-12-17,2026-01-16,2313.2313,2559.744,TIME,32656.65,2735.1,8.375,20,True
GMKN,2025-12-23,2026-01-20,143.594358,158.404158,TIME,32320.26,2630.51,8.139,20,True
PLZL,2026-01-20,2026-01-29,2620.262,2622.6199737738,SL,29495.34,354.4,1.202,9,True
RUAL,2026-01-21,2026-01-30,39.203920000000004,39.239199607608,SL,23958.5,368.39,1.538,9,True
PLZL,2026-01-29,2026-01-30,2763.2763,2641.1937050795086,SL,26044.76,-1176.14,-4.516,1,False
GMKN,2026-01-30,2026-01-31,168.196818,164.62915141250957,SL,34203.01,-759.33,-2.22,1,False
SNGSP,2026-01-13,2026-02-02,43.494349,43.905609,TIME,28060.03,237.13,0.845,20,True
IRAO,2026-01-16,2026-02-05,3.3203319999999996,3.469653,TIME,29986.2,1313.89,4.382,20,True
YDEX,2026-01-22,2026-02-05,4765.4765,4617.635273848664,SL,34339.02,-1099.12,-3.201,14,False
T,2026-01-22,2026-02-11,3342.3342,3295.6704,TIME,34339.02,-513.52,-1.495,20,False
MAGN,2026-02-01,2026-02-23,30.473046999999998,32.306769,TIME,28217.26,1582.03,5.607,20,True
T,2026-02-17,2026-03-03,3490.349,3404.1645495000002,SL,33956.73,-872.0,-2.568,14,False
RUAL,2026-03-06,2026-03-09,42.954295,42.99294957007049,SL,27084.09,382.09,1.411,1,True
TATN,2026-03-03,2026-03-10,607.46074,627.9116326796928,SL,34169.73,1769.1,5.177,5,True
RUAL,2026-03-09,2026-03-18,45.10451,42.518655184246064,SL,19966.66,-1164.09,-5.83,9,False
PHOR,2026-02-25,2026-03-19,6669.6669,7840.591900000004,TP3,34431.34,3465.98,10.066,20,True
ROSN,2026-03-03,2026-03-20,437.0437,512.84871,END,34169.73,3621.67,10.599,15,True
TATNP,2026-03-10,2026-03-20,602.86028,609.83901,END,21176.81,223.84,1.057,10,True
